time,q1_des,q1_real,q1_error,q2_des,q2_real,q2_error,q3_des,q3_real,q3_error,q4_des,q4_real,q4_error,q5_des,q5_real,q5_error,q6_des,q6_real,q6_error,q7_des,q7_real,q7_error,dq1_des,dq1_real,dq1_error,dq2_des,dq2_real,dq2_error,dq3_des,dq3_real,dq3_error,dq4_des,dq4_real,dq4_error,dq5_des,dq5_real,dq5_error,dq6_des,dq6_real,dq6_error,dq7_des,dq7_real,dq7_error,qdd1_cmd,qdd1_real,qdd1_error,qdd2_cmd,qdd2_real,qdd2_error,qdd3_cmd,qdd3_real,qdd3_error,qdd4_cmd,qdd4_real,qdd4_error,qdd5_cmd,qdd5_real,qdd5_error,qdd6_cmd,qdd6_real,qdd6_error,qdd7_cmd,qdd7_real,qdd7_error
0.003774,-0.003739,-0.000428,-0.003312,-0.166007,-0.700143,0.534136,0.001937,0.000089,0.001847,-1.234532,-2.350706,1.116174,0.000820,0.000617,0.000203,0.989048,1.570940,-0.581892,0.699175,0.700202,-0.001027,-0.606303,0.000517,-0.606820,0.334765,0.000521,0.334244,0.360348,0.000469,0.359880,0.644981,-0.000291,0.645272,0.032656,0.000731,0.031924,-0.317801,0.000155,-0.317956,-0.234035,0.000856,-0.234892,6.000000,nan,nan,2.585000,nan,nan,-3.500000,nan,nan,4.000000,nan,nan,-4.997108,nan,nan,-5.500000,nan,nan,17.000000,nan,nan
0.013950,-0.004715,-0.000428,-0.004288,-0.158326,-0.700143,0.541817,0.002837,0.000089,0.002748,-1.219649,-2.350706,1.131057,0.000956,0.000617,0.000339,0.981794,1.570940,-0.589147,0.699163,0.700202,-0.001040,0.232252,0.000517,0.231734,1.023809,0.000521,1.023288,-0.089139,0.000469,-0.089607,1.985937,-0.000291,1.986228,0.000303,0.000731,-0.000428,-0.965298,0.000155,-0.965453,0.145402,0.000856,0.144546,6.000000,0.000000,6.000000,2.585000,0.000000,2.585000,-3.500000,0.000000,-3.500000,4.000000,0.000000,4.000000,-1.361461,0.000000,-1.361461,-5.500000,0.000000,-5.500000,11.871579,0.000000,11.871579
0.023876,-0.002706,-0.000428,-0.002278,-0.148436,-0.700143,0.551707,0.002029,0.000089,0.001940,-1.200470,-2.350706,1.150236,0.000950,0.000617,0.000333,0.972486,1.570940,-0.598454,0.700384,0.700202,0.000181,0.018468,0.000517,0.017951,0.843972,0.000521,0.843451,0.007768,0.000469,0.007300,1.635166,-0.000291,1.635457,0.004136,0.000731,0.003405,-0.792158,0.000155,-0.792312,0.029537,0.000856,0.028680,-6.000000,0.000000,-6.000000,-2.585000,0.000000,-2.585000,3.500000,0.000000,3.500000,-4.000000,0.000000,-4.000000,1.889582,0.000000,1.889582,5.500000,0.000000,5.500000,-17.000000,0.000000,-17.000000
0.034058,-0.004423,-0.000428,-0.003996,-0.140854,-0.700143,0.559289,0.003355,0.000089,0.003266,-1.185801,-2.350706,1.164905,0.001123,0.000617,0.000506,0.965393,1.570940,-0.605547,0.700072,0.700202,-0.000130,-0.284046,0.000517,-0.284564,0.743983,0.000521,0.743462,0.237933,0.000469,0.237465,1.437639,-0.000291,1.437930,0.032990,0.000731,0.032259,-0.694070,0.000155,-0.694225,-0.032189,0.000856,-0.033045,-6.000000,0.000000,-6.000000,2.585000,0.000000,2.585000,3.500000,0.000000,3.500000,4.000000,0.000000,4.000000,3.777854,0.000000,3.777854,-5.500000,0.000000,-5.500000,11.181860,0.000000,11.181860
0.043827,-0.007370,-0.000390,-0.006980,-0.133041,-0.699710,0.566669,0.005992,0.000084,0.005908,-1.170717,-2.350219,1.179502,0.001508,0.000611,0.000897,0.958110,1.570867,-0.612757,0.699929,0.700195,-0.000266,-0.346072,0.002823,-0.348895,0.659849,0.047536,0.612313,0.191517,0.000782,0.190735,1.270308,0.047079,1.223229,0.015510,0.000542,0.014968,-0.613754,-0.007068,-0.606687,-0.145441,-0.002837,-0.142604,-6.000000,0.236067,-6.236067,-2.585000,4.812782,-7.397782,-3.500000,0.032107,-3.532107,-4.000000,4.849075,-8.849075,-12.630952,-0.019369,-12.611583,5.500000,-0.739313,6.239313,-17.000000,-0.378093,-16.621907
0.053844,-0.011414,-0.000390,-0.011024,-0.130078,-0.699710,0.569632,0.006015,0.000084,0.005931,-1.165088,-2.350219,1.185130,0.001131,0.000611,0.000520,0.955384,1.570867,-0.615482,0.695805,0.700195,-0.004389,-0.399385,0.002823,-0.402208,0.069853,0.047536,0.022316,-0.112943,0.000782,-0.113725,0.122945,0.047079,0.075866,-0.066203,0.000542,-0.066745,-0.060102,-0.007068,-0.053034,-0.533833,-0.002837,-0.530996,6.000000,0.000000,6.000000,-2.585000,0.000000,-2.585000,-3.500000,0.000000,-3.500000,-4.000000,0.000000,-4.000000,-0.556797,0.000000,-0.556797,5.500000,0.000000,5.500000,5.818926,0.000000,5.818926
0.063831,-0.014712,-0.000390,-0.014322,-0.129859,-0.699710,0.569851,0.004670,0.000084,0.004586,-1.164780,-2.350219,1.185439,0.000480,0.000611,-0.000131,0.955234,1.570867,-0.615632,0.690933,0.700195,-0.009262,-0.271880,0.002823,-0.274703,-0.015922,0.047536,-0.063459,-0.153002,0.000782,-0.153784,-0.042009,0.047079,-0.089088,-0.064365,0.000542,-0.064907,0.020882,-0.007068,0.027949,-0.449529,-0.002837,-0.446691,6.000000,0.000000,6.000000,-2.585000,0.000000,-2.585000,-3.156687,0.000000,-3.156687,-4.000000,0.000000,-4.000000,0.076875,0.000000,0.076875,5.500000,0.000000,5.500000,5.888588,0.000000,5.888588
0.073915,-0.017095,-0.001801,-0.015294,-0.130224,-0.696004,0.565780,0.002994,-0.000132,0.003126,-1.165605,-2.344806,1.179201,-0.000169,0.000711,-0.000880,0.955648,1.565324,-0.609676,0.686606,0.700199,-0.013593,-0.212590,-0.058283,-0.154308,-0.047558,0.186638,-0.234196,-0.176890,-0.029982,-0.146908,-0.104714,0.273663,-0.378376,-0.064943,0.017560,-0.082503,0.053054,-0.365731,0.418785,-0.417748,-0.001968,-0.415780,2.380668,-6.059316,8.439984,-0.465431,13.793458,-14.258890,-1.580853,-3.050641,1.469788,-1.175426,22.468249,-23.643675,-0.191514,1.687518,-1.879033,0.782570,-35.565401,36.347971,0.414249,0.086180,0.328068
0.084096,-0.019239,-0.001801,-0.017437,-0.130655,-0.696004,0.565349,0.001135,-0.000132,0.001267,-1.166586,-2.344806,1.178220,-0.000844,0.000711,-0.001555,0.956159,1.565324,-0.609165,0.682296,0.700199,-0.017903,-0.213498,-0.058283,-0.155216,-0.033545,0.186638,-0.220183,-0.186989,-0.029982,-0.157007,-0.081305,0.273663,-0.354967,-0.067767,0.017560,-0.085327,0.044124,-0.365731,0.409855,-0.432719,-0.001968,-0.430750,-0.716880,0.000000,-0.716880,1.735203,0.000000,1.735203,-0.761484,0.000000,-0.761484,2.971977,0.000000,2.971977,-0.277058,0.000000,-0.277058,-1.199799,0.000000,-1.199799,-1.831662,0.000000,-1.831662
0.093797,-0.021338,-0.001801,-0.019537,-0.130908,-0.696004,0.565097,-0.000713,-0.000132,-0.000581,-1.167251,-2.344806,1.177555,-0.001513,0.000711,-0.002224,0.956538,1.565324,-0.608786,0.678020,0.700199,-0.022178,-0.218869,-0.058283,-0.160586,-0.019342,0.186638,-0.205980,-0.193682,-0.029982,-0.163700,-0.057493,0.273663,-0.331155,-0.070106,0.017560,-0.087667,0.034864,-0.365731,0.400595,-0.447716,-0.001968,-0.445748,-0.390319,0.000000,-0.390319,1.192722,0.000000,1.192722,-0.618341,0.000000,-0.618341,1.937048,0.000000,1.937048,-0.205324,0.000000,-0.205324,-0.709308,0.000000,-0.709308,-1.260231,0.000000,-1.260231
0.103959,-0.023577,-0.003401,-0.020176,-0.131052,-0.683981,0.552929,-0.002711,-0.000310,-0.002401,-1.167754,-2.327234,1.159480,-0.002235,0.000750,-0.002985,0.956865,1.538057,-0.581193,0.673416,0.700205,-0.026789,-0.221097,-0.027268,-0.193830,-0.010109,0.531089,-0.541198,-0.199204,-0.008636,-0.190568,-0.043316,0.733311,-0.776627,-0.071811,0.000741,-0.072552,0.030266,-1.188035,1.218302,-0.457482,0.000414,-0.457895,-0.048241,3.051967,-3.100208,0.624464,33.894988,-33.270524,-0.468396,2.100578,-2.568974,0.852945,45.230789,-44.377844,-0.130182,-1.655060,1.524878,-0.195512,-80.917209,80.721697,-0.661649,0.234380,-0.896029
0.113956,-0.025784,-0.003401,-0.022383,-0.131132,-0.683981,0.552850,-0.004723,-0.000310,-0.004413,-1.168162,-2.327234,1.159071,-0.002958,0.000750,-0.003708,0.957166,1.538057,-0.580891,0.668819,0.700205,-0.031386,-0.219897,-0.027268,-0.192630,-0.006660,0.531089,-0.537749,-0.203149,-0.008636,-0.194514,-0.040120,0.733311,-0.773431,-0.072743,0.000741,-0.073484,0.030838,-1.188035,1.218874,-0.461153,0.000414,-0.461566,0.288282,0.000000,0.288282,0.065434,0.000000,0.065434,-0.320886,0.000000,-0.320886,-0.213556,0.000000,-0.213556,-0.056259,0.000000,-0.056259,0.309941,0.000000,0.309941,-0.072786,0.000000,-0.072786
0.124015,-0.027976,-0.003401,-0.024575,-0.131205,-0.683981,0.552777,-0.006780,-0.000310,-0.006470,-1.168595,-2.327234,1.158639,-0.003692,0.000750,-0.004441,0.957500,1.538057,-0.580557,0.664187,0.700205,-0.036018,-0.215295,-0.027268,-0.188027,-0.008831,0.531089,-0.539920,-0.205631,-0.008636,-0.196995,-0.047665,0.733311,-0.780976,-0.072935,0.000741,-0.073676,0.036513,-1.188035,1.224549,-0.458905,0.000414,-0.459319,0.626865,0.000000,0.626865,-0.497017,0.000000,-0.497017,-0.172473,0.000000,-0.172473,-1.286584,0.000000,-1.286584,0.018115,0.000000,0.018115,0.818488,0.000000,0.818488,0.519681,0.000000,0.519681
0.133818,-0.030056,-0.003401,-0.026655,-0.131316,-0.683981,0.552666,-0.008804,-0.000310,-0.008494,-1.169124,-2.327234,1.158109,-0.004406,0.000750,-0.005155,0.957898,1.538057,-0.580159,0.659713,0.700205,-0.040491,-0.209339,-0.027268,-0.182071,-0.013678,0.531089,-0.544767,-0.207187,-0.008636,-0.198551,-0.060227,0.733311,-0.793538,-0.072744,0.000741,-0.073485,0.044515,-1.188035,1.232551,-0.453858,0.000414,-0.454272,0.566272,0.000000,0.566272,-0.458939,0.000000,-0.458939,-0.151986,0.000000,-0.151986,-1.213377,0.000000,-1.213377,0.016766,0.000000,0.016766,0.784259,0.000000,0.784259,0.475010,0.000000,0.475010
