time,q1_des,q1_real,q1_error,q2_des,q2_real,q2_error,q3_des,q3_real,q3_error,q4_des,q4_real,q4_error,q5_des,q5_real,q5_error,q6_des,q6_real,q6_error,q7_des,q7_real,q7_error,dq1_des,dq1_real,dq1_error,dq2_des,dq2_real,dq2_error,dq3_des,dq3_real,dq3_error,dq4_des,dq4_real,dq4_error,dq5_des,dq5_real,dq5_error,dq6_des,dq6_real,dq6_error,dq7_des,dq7_real,dq7_error,qdd1_cmd,qdd1_real,qdd1_error,qdd2_cmd,qdd2_real,qdd2_error,qdd3_cmd,qdd3_real,qdd3_error,qdd4_cmd,qdd4_real,qdd4_error,qdd5_cmd,qdd5_real,qdd5_error,qdd6_cmd,qdd6_real,qdd6_error,qdd7_cmd,qdd7_real,qdd7_error
0.002525,-0.013883,-0.006665,-0.007218,-0.244142,-0.780166,0.536024,0.012976,0.001101,0.011874,-1.341549,-2.349527,1.007978,-0.003099,-0.004970,0.001871,1.097320,1.568485,-0.471166,0.781950,0.781683,0.000267,-2.488798,0.000333,-2.489131,-0.093992,0.000584,-0.094576,1.909697,0.000114,1.909583,-0.262840,0.000351,-0.263191,0.450390,0.002261,0.448129,0.130571,0.000068,0.130503,-0.402012,0.000582,-0.402594,6.000000,nan,nan,2.585000,nan,nan,-3.500000,nan,nan,4.000000,nan,nan,-17.000000,nan,nan,-5.500000,nan,nan,17.000000,nan,nan
0.008548,-0.021671,-0.006668,-0.015003,-0.242267,-0.780174,0.537907,0.018998,0.001100,0.017898,-1.338343,-2.349531,1.011188,-0.001699,-0.004969,0.003270,1.095797,1.568483,-0.472686,0.780728,0.781769,-0.001041,-0.267910,-0.000958,-0.266952,0.658051,-0.000418,0.658469,0.219166,-0.000888,0.220054,1.212984,-0.000831,1.213815,0.045355,-0.002177,0.047532,-0.580724,-0.002326,-0.578398,-0.032778,0.004487,-0.037265,6.000000,-0.214383,6.214383,2.585000,-0.166290,2.751290,-3.500000,-0.166376,-3.333624,4.000000,-0.196149,4.196149,-17.000000,-0.736766,-16.263234,-5.500000,-0.397462,-5.102538,17.000000,0.648187,16.351813
0.018567,-0.014864,-0.006668,-0.008196,-0.232486,-0.780174,0.547687,0.013928,0.001100,0.012828,-1.319928,-2.349531,1.029602,-0.002986,-0.004969,0.001983,1.086968,1.568483,-0.481516,0.781934,0.781769,0.000165,1.154037,-0.000958,1.154995,1.133072,-0.000418,1.133490,-0.873557,-0.000888,-0.872669,2.146621,-0.000831,2.147452,-0.216508,-0.002177,-0.214331,-1.029081,-0.002326,-1.026755,0.192576,0.004487,0.188089,0.327957,0.000000,0.327957,-0.940037,0.000000,-0.940037,-1.926797,0.000000,-1.926797,-1.610315,0.000000,-1.610315,-0.470831,0.000000,-0.470831,1.039193,0.000000,1.039193,-1.737665,0.000000,-1.737665
0.028570,-0.007585,-0.006668,-0.000917,-0.222648,-0.780174,0.557525,0.008341,0.001100,0.007241,-1.301378,-2.349531,1.048152,-0.004397,-0.004969,0.000572,1.078099,1.568483,-0.490384,0.783050,0.781769,0.001280,0.069938,-0.000958,0.070896,0.761929,-0.000418,0.762348,-0.063900,-0.000888,-0.063012,1.420670,-0.000831,1.421501,-0.022733,-0.002177,-0.020555,-0.675174,-0.002326,-0.672848,-0.004377,0.004487,-0.008863,-6.000000,0.000000,-6.000000,-2.585000,0.000000,-2.585000,3.500000,0.000000,3.500000,-4.000000,0.000000,-4.000000,17.000000,0.000000,17.000000,5.500000,0.000000,5.500000,-17.000000,0.000000,-17.000000
0.038551,-0.010656,-0.006343,-0.004313,-0.215944,-0.779461,0.563516,0.010754,0.000627,0.010128,-1.288982,-2.349006,1.060024,-0.003898,-0.005323,0.001425,1.072264,1.568263,-0.495999,0.782569,0.781792,0.000777,-0.471915,0.024415,-0.496330,0.674316,0.066014,0.608302,0.398914,-0.035621,0.434534,1.244092,0.051663,1.192430,0.087012,-0.025920,0.112932,-0.580106,-0.033220,-0.546886,-0.041711,-0.000358,-0.041353,6.000000,2.542166,3.457834,2.585000,6.655838,-4.070838,1.691591,-3.479858,5.171448,4.000000,5.259316,-1.259316,0.234824,-2.378782,2.613606,-5.500000,-3.095195,-2.404805,11.321692,-0.485354,11.807046
0.048628,-0.014197,-0.006343,-0.007854,-0.208475,-0.779461,0.570986,0.013852,0.000627,0.013225,-1.275125,-2.349006,1.073882,-0.003245,-0.005323,0.002077,1.065826,1.568263,-0.502437,0.782351,0.781792,0.000559,-0.313340,0.024415,-0.337755,0.648746,0.066014,0.582732,0.169440,-0.035621,0.205060,1.203899,0.051663,1.152236,0.032696,-0.025920,0.058616,-0.557804,-0.033220,-0.524584,-0.130583,-0.000358,-0.130225,-6.000000,0.000000,-6.000000,-2.585000,0.000000,-2.585000,-3.500000,0.000000,-3.500000,-4.000000,0.000000,-4.000000,-7.368436,0.000000,-7.368436,5.500000,0.000000,5.500000,-17.000000,0.000000,-17.000000
0.058582,-0.018291,-0.006343,-0.011948,-0.205083,-0.779461,0.574377,0.014087,0.000627,0.013460,-1.268923,-2.349006,1.080083,-0.003240,-0.005323,0.002082,1.062968,1.568263,-0.505295,0.778572,0.781792,-0.003221,-0.437129,0.024415,-0.461544,0.119618,0.066014,0.053604,-0.081717,-0.035621,-0.046097,0.207340,0.051663,0.155678,-0.022480,-0.025920,0.003440,-0.093624,-0.033220,-0.060405,-0.516073,-0.000358,-0.515716,6.000000,0.000000,6.000000,-2.585000,0.000000,-2.585000,-3.500000,0.000000,-3.500000,-4.000000,0.000000,-4.000000,-2.591703,0.000000,-2.591703,5.500000,0.000000,5.500000,-1.320073,0.000000,-1.320073
0.068707,-0.021862,-0.006096,-0.015766,-0.204584,-0.775023,0.570439,0.012843,0.000978,0.011865,-1.268135,-2.343165,1.075030,-0.003554,-0.005693,0.002139,1.062631,1.560745,-0.498113,0.773733,0.781789,-0.008056,-0.276707,0.010801,-0.287508,-0.004238,0.244432,-0.248670,-0.156203,0.033135,-0.189338,-0.020530,0.322914,-0.343444,-0.037876,-0.037349,-0.000528,0.012899,-0.445155,0.458055,-0.439853,0.000323,-0.440176,6.000000,-1.344619,7.344619,-2.585000,17.621296,-20.206296,-3.500000,6.790619,-10.290619,-4.000000,26.789932,-30.789932,-1.125894,-1.128739,0.002845,5.500000,-40.684522,46.184522,5.980293,0.067234,5.913059
0.078591,-0.024132,-0.006096,-0.018035,-0.204923,-0.775023,0.570100,0.011082,0.000978,0.010105,-1.268889,-2.343165,1.074275,-0.003973,-0.005693,0.001720,1.063022,1.560745,-0.497723,0.769601,0.781789,-0.012188,-0.196076,0.010801,-0.206877,-0.053513,0.244432,-0.297945,-0.194824,0.033135,-0.227960,-0.112522,0.322914,-0.435436,-0.045738,-0.037349,-0.008390,0.057128,-0.445155,0.502283,-0.404015,0.000323,-0.404339,4.053827,0.000000,4.053827,-1.698406,0.000000,-1.698406,-2.325698,0.000000,-2.325698,-3.347773,0.000000,-3.347773,-0.465030,0.000000,-0.465030,1.749589,0.000000,1.749589,1.271433,0.000000,1.271433
0.088580,-0.026019,-0.006096,-0.019923,-0.205437,-0.775023,0.569586,0.009071,0.000978,0.008093,-1.269990,-2.343165,1.073175,-0.004442,-0.005693,0.001251,1.063593,1.560745,-0.497152,0.765554,0.781789,-0.016235,-0.191423,0.010801,-0.202224,-0.041980,0.244432,-0.286411,-0.204139,0.033135,-0.237274,-0.094303,0.322914,-0.417217,-0.047481,-0.037349,-0.010132,0.050979,-0.445155,0.496134,-0.411728,0.000323,-0.412051,-1.117333,0.000000,-1.117333,2.327947,0.000000,2.327947,-0.275418,0.000000,-0.275418,3.946276,0.000000,3.946276,-0.039225,0.000000,-0.039225,-1.586937,0.000000,-1.586937,-1.612302,0.000000,-1.612302
