time,q1_des,q1_real,q1_error,q2_des,q2_real,q2_error,q3_des,q3_real,q3_error,q4_des,q4_real,q4_error,q5_des,q5_real,q5_error,q6_des,q6_real,q6_error,q7_des,q7_real,q7_error,dq1_des,dq1_real,dq1_error,dq2_des,dq2_real,dq2_error,dq3_des,dq3_real,dq3_error,dq4_des,dq4_real,dq4_error,dq5_des,dq5_real,dq5_error,dq6_des,dq6_real,dq6_error,dq7_des,dq7_real,dq7_error,qdd1_cmd,qdd1_real,qdd1_error,qdd2_cmd,qdd2_real,qdd2_error,qdd3_cmd,qdd3_real,qdd3_error,qdd4_cmd,qdd4_real,qdd4_error,qdd5_cmd,qdd5_real,qdd5_error,qdd6_cmd,qdd6_real,qdd6_error,qdd7_cmd,qdd7_real,qdd7_error
0.002509,-0.002833,-0.000393,-0.002440,-0.166338,-0.700135,0.533797,0.001448,0.000086,0.001362,-1.235166,-2.350684,1.115518,0.000672,0.000515,0.000157,0.989364,1.570924,-0.581560,0.699454,0.700164,-0.000710,-0.787636,-0.000483,-0.787153,0.185577,0.000459,0.185118,0.456322,-0.000118,0.456440,0.354596,0.002466,0.352130,0.039329,-0.000906,0.040235,-0.177277,0.000707,-0.177983,-0.317427,-0.002710,-0.314717,6.000000,nan,nan,2.585000,nan,nan,-3.500000,nan,nan,4.000000,nan,nan,-5.475532,nan,nan,-5.500000,nan,nan,17.000000,nan,nan
0.008701,-0.005260,-0.000393,-0.004867,-0.163170,-0.700135,0.536965,0.002976,0.000086,0.002890,-1.229041,-2.350684,1.121643,0.000825,0.000515,0.000309,0.986366,1.570924,-0.584559,0.698614,0.700164,-0.001550,-0.063648,-0.000483,-0.063165,0.781636,0.000459,0.781177,0.072089,-0.000118,0.072207,1.514742,0.002466,1.512276,0.012308,-0.000906,0.013214,-0.738270,0.000707,-0.738977,0.014258,-0.002710,0.016968,6.000000,0.000000,6.000000,2.585000,0.000000,2.585000,-3.500000,0.000000,-3.500000,4.000000,0.000000,4.000000,-3.251600,0.000000,-3.251600,-5.500000,0.000000,-5.500000,17.000000,0.000000,17.000000
0.018684,-0.003453,-0.000398,-0.003055,-0.153374,-0.700138,0.546764,0.002354,0.000088,0.002266,-1.210042,-2.350692,1.140649,0.000845,0.000515,0.000330,0.977129,1.570923,-0.593793,0.699826,0.700164,-0.000338,0.250059,-0.001234,0.251293,1.035523,-0.000233,1.035756,-0.105829,0.001850,-0.107679,2.008465,-0.000359,2.008824,-0.002256,-0.001103,-0.001153,-0.974804,0.000197,-0.975001,0.145596,-0.001280,0.146876,-6.000000,-0.075182,-5.924818,-2.585000,-0.069352,-2.515648,3.500000,0.197191,3.302809,-4.000000,-0.282990,-3.717010,0.333642,-0.019762,0.353404,5.500000,-0.051068,5.551068,-11.781747,0.143188,-11.924935
0.028693,-0.003100,-0.000398,-0.002702,-0.144715,-0.700138,0.555423,0.002389,0.000088,0.002301,-1.193264,-2.350692,1.157427,0.000891,0.000515,0.000376,0.969000,1.570923,-0.601923,0.700248,0.700164,0.000084,-0.178391,-0.001234,-0.177157,0.722911,-0.000233,0.723144,0.127787,0.001850,0.125937,1.398536,-0.000359,1.398896,0.015343,-0.001103,0.016447,-0.676130,0.000197,-0.676327,-0.043495,-0.001280,-0.042214,-6.000000,0.000000,-6.000000,-2.585000,0.000000,-2.585000,3.500000,0.000000,3.500000,-4.000000,0.000000,-4.000000,2.786876,0.000000,2.786876,5.500000,0.000000,5.500000,-6.986981,0.000000,-6.986981
0.038719,-0.005749,-0.000398,-0.005351,-0.137104,-0.700138,0.563034,0.004667,0.000088,0.004579,-1.178554,-2.350692,1.172137,0.001213,0.000515,0.000699,0.961897,1.570923,-0.609026,0.700014,0.700164,-0.000151,-0.291261,-0.001234,-0.290027,0.857607,-0.000233,0.857840,0.301024,0.001850,0.299173,1.656597,-0.000359,1.656956,0.048141,-0.001103,0.049244,-0.799787,0.000197,-0.799984,0.029858,-0.001280,0.031139,-2.637712,0.000000,-2.637712,2.585000,0.000000,2.585000,0.245912,0.000000,0.245912,4.000000,0.000000,4.000000,-0.176801,0.000000,-0.176801,-3.964413,0.000000,-3.964413,-2.287243,0.000000,-2.287243
0.048785,-0.009273,-0.000467,-0.008806,-0.130825,-0.700070,0.569245,0.006418,0.000128,0.006290,-1.166472,-2.350480,1.184008,0.001320,0.000517,0.000803,0.956059,1.570927,-0.614868,0.698312,0.700164,-0.001851,-0.419449,-0.011846,-0.407603,0.262140,-0.003493,0.265633,-0.015811,0.004356,-0.020167,0.496183,0.006823,0.489360,-0.043636,-0.000194,-0.043442,-0.240441,0.000296,-0.240736,-0.447429,-0.001950,-0.445479,-5.763108,-1.054304,-4.708805,-2.585000,-0.323835,-2.261165,-3.500000,0.248895,-3.748895,-4.000000,0.713508,-4.713508,-8.373743,0.090315,-8.464058,5.500000,0.009813,5.490187,-17.000000,-0.066518,-16.933482
0.058729,-0.013159,-0.000467,-0.012692,-0.129868,-0.700070,0.570202,0.005432,0.000128,0.005304,-1.164738,-2.350480,1.185742,0.000705,0.000517,0.000187,0.955215,1.570927,-0.615712,0.693242,0.700164,-0.006922,-0.328725,-0.011846,-0.316879,0.020528,-0.003493,0.024020,-0.134885,0.004356,-0.139240,0.028316,0.006823,0.021494,-0.065106,-0.000194,-0.064912,-0.013802,0.000296,-0.014097,-0.486631,-0.001950,-0.484681,6.000000,0.000000,6.000000,-2.585000,0.000000,-2.585000,-3.500000,0.000000,-3.500000,-4.000000,0.000000,-4.000000,0.213966,0.000000,0.213966,5.500000,0.000000,5.500000,8.659336,0.000000,8.659336
0.068873,-0.015950,-0.000467,-0.015483,-0.130005,-0.700070,0.570065,0.003888,0.000128,0.003760,-1.165118,-2.350480,1.185362,0.000051,0.000517,-0.000467,0.955405,1.570927,-0.615522,0.688656,0.700164,-0.011507,-0.233410,-0.011846,-0.221564,-0.038500,-0.003493,-0.035007,-0.166930,0.004356,-0.171286,-0.086107,0.006823,-0.092930,-0.064309,-0.000194,-0.064115,0.043076,0.000296,0.042781,-0.426724,-0.001950,-0.424774,5.877069,0.000000,5.877069,-2.585000,0.000000,-2.585000,-2.367281,0.000000,-2.367281,-4.000000,0.000000,-4.000000,-0.056852,0.000000,-0.056852,3.186995,0.000000,3.186995,3.151248,0.000000,3.151248
0.078826,-0.018096,-0.001914,-0.016182,-0.130457,-0.699836,0.569379,0.002135,-0.000621,0.002756,-1.166119,-2.349908,1.183789,-0.000597,0.000713,-0.001310,0.955914,1.570795,-0.614882,0.684476,0.700171,-0.015695,-0.209262,-0.074475,-0.134787,-0.043479,-0.001872,-0.041607,-0.182764,-0.062501,-0.120263,-0.098458,0.023977,-0.122435,-0.066197,0.024673,-0.090869,0.051178,-0.007768,0.058946,-0.422241,-0.000920,-0.421321,-0.893640,-6.292789,5.399149,2.027937,0.162862,1.865075,-0.840008,-6.717648,5.877640,3.530616,1.723624,1.806992,-0.316301,2.498563,-2.814864,-1.464227,-0.810189,-0.654038,-2.142382,0.103477,-2.245859
0.088838,-0.020230,-0.001914,-0.018317,-0.130800,-0.699836,0.569036,0.000265,-0.000621,0.000887,-1.166945,-2.349908,1.182962,-0.001274,0.000713,-0.001987,0.956361,1.570795,-0.614434,0.680151,0.700171,-0.020020,-0.216523,-0.074475,-0.142048,-0.025975,-0.001872,-0.024103,-0.190433,-0.062501,-0.127933,-0.068451,0.023977,-0.092428,-0.068993,0.024673,-0.093665,0.039049,-0.007768,0.046817,-0.440739,-0.000920,-0.439819,-0.556768,0.000000,-0.556768,1.468559,0.000000,1.468559,-0.692071,0.000000,-0.692071,2.463412,0.000000,2.463412,-0.242184,0.000000,-0.242184,-0.958522,0.000000,-0.958522,-1.552519,0.000000,-1.552519
