time,q1_des,q1,q1_err,q2_des,q2,q2_err,q3_des,q3,q3_err,q4_des,q4,q4_err,q5_des,q5,q5_err,q6_des,q6,q6_err,q7_des,q7,q7_err,dq1_des,dq1,dq1_err,dq2_des,dq2,dq2_err,dq3_des,dq3,dq3_err,dq4_des,dq4,dq4_err,dq5_des,dq5,dq5_err,dq6_des,dq6,dq6_err,dq7_des,dq7,dq7_err,qddsafe1,qddsafe2,qddsafe3,qddsafe4,qddsafe5,qddsafe6,qddsafe7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.000000,-0.002833,-0.000393,-0.002440,-0.166338,-0.700135,0.533797,0.001448,0.000086,0.001362,-1.235166,-2.350684,1.115518,0.000672,0.000515,0.000157,0.989364,1.570924,-0.581560,0.699454,0.700164,-0.000710,-0.787636,-0.000483,-0.787153,0.185577,0.000459,0.185118,0.456322,-0.000118,0.456440,0.354596,0.002466,0.352130,0.039329,-0.000906,0.040235,-0.177277,0.000707,-0.177983,-0.317427,-0.002710,-0.314717,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
0.003256,-0.002833,-0.000393,-0.002440,-0.166338,-0.700135,0.533797,0.001448,0.000086,0.001362,-1.235166,-2.350684,1.115518,0.000672,0.000515,0.000157,0.989364,1.570924,-0.581560,0.699454,0.700164,-0.000710,-0.787636,-0.000483,-0.787153,0.185577,0.000459,0.185118,0.456322,-0.000118,0.456440,0.354596,0.002466,0.352130,0.039329,-0.000906,0.040235,-0.177277,0.000707,-0.177983,-0.317427,-0.002710,-0.314717,6.000000,2.585000,-3.500000,4.000000,-5.475532,-5.500000,17.000000,1.122326,1.511780,-0.405839,1.426584,-0.023745,0.056844,0.021319
0.008967,-0.005260,-0.000398,-0.004862,-0.163170,-0.700138,0.536968,0.002976,0.000088,0.002888,-1.229041,-2.350692,1.121650,0.000825,0.000515,0.000310,0.986366,1.570923,-0.584557,0.698614,0.700164,-0.001550,-0.063648,-0.001234,-0.062415,0.781636,-0.000233,0.781870,0.072089,0.001850,0.070239,1.514742,-0.000359,1.515101,0.012308,-0.001103,0.013411,-0.738270,0.000197,-0.738467,0.014258,-0.001280,0.015538,6.000000,2.585000,-3.500000,4.000000,-3.251600,-5.500000,17.000000,1.257837,1.707964,-0.297387,1.677938,0.070152,-0.005290,0.021916
0.014598,-0.003453,-0.000398,-0.003055,-0.153374,-0.700138,0.546764,0.002354,0.000088,0.002266,-1.210042,-2.350692,1.140649,0.000845,0.000515,0.000330,0.977129,1.570923,-0.593793,0.699826,0.700164,-0.000338,0.250059,-0.001234,0.251293,1.035523,-0.000233,1.035756,-0.105829,0.001850,-0.107679,2.008465,-0.000359,2.008824,-0.002256,-0.001103,-0.001153,-0.974804,0.000197,-0.975001,0.145596,-0.001280,0.146876,6.000000,2.585000,-3.500000,4.000000,-3.251600,-5.500000,17.000000,1.278153,1.920753,-0.307543,1.927971,0.069891,-0.075411,0.023603
0.018949,-0.003453,-0.000398,-0.003055,-0.153374,-0.700138,0.546764,0.002354,0.000088,0.002266,-1.210042,-2.350692,1.140649,0.000845,0.000515,0.000330,0.977129,1.570923,-0.593793,0.699826,0.700164,-0.000338,0.250059,-0.001234,0.251293,1.035523,-0.000233,1.035756,-0.105829,0.001850,-0.107679,2.008465,-0.000359,2.008824,-0.002256,-0.001103,-0.001153,-0.974804,0.000197,-0.975001,0.145596,-0.001280,0.146876,-6.000000,-2.585000,3.500000,-4.000000,0.333642,5.500000,-11.781747,-1.419772,-0.761026,0.143042,-0.621602,-0.193443,-0.322975,-0.009081
0.023588,-0.003453,-0.000398,-0.003055,-0.153374,-0.700138,0.546764,0.002354,0.000088,0.002266,-1.210042,-2.350692,1.140649,0.000845,0.000515,0.000330,0.977129,1.570923,-0.593793,0.699826,0.700164,-0.000338,0.250059,-0.001234,0.251293,1.035523,-0.000233,1.035756,-0.105829,0.001850,-0.107679,2.008465,-0.000359,2.008824,-0.002256,-0.001103,-0.001153,-0.974804,0.000197,-0.975001,0.145596,-0.001280,0.146876,-6.000000,-2.585000,3.500000,-4.000000,0.333642,5.500000,-11.781747,-1.415027,-0.598821,0.141276,-0.437734,-0.193407,-0.376592,-0.008548
0.028989,-0.003100,-0.000398,-0.002702,-0.144715,-0.700138,0.555423,0.002389,0.000088,0.002301,-1.193264,-2.350692,1.157427,0.000891,0.000515,0.000376,0.969000,1.570923,-0.601923,0.700248,0.700164,0.000084,-0.178391,-0.001234,-0.177157,0.722911,-0.000233,0.723144,0.127787,0.001850,0.125937,1.398536,-0.000359,1.398896,0.015343,-0.001103,0.016447,-0.676130,0.000197,-0.676327,-0.043495,-0.001280,-0.042214,-6.000000,-2.585000,3.500000,-4.000000,2.786876,5.500000,-6.986981,-1.336513,-0.473287,0.290353,-0.277721,-0.089149,-0.426235,-0.003102
0.033508,-0.003100,-0.000398,-0.002702,-0.144715,-0.700138,0.555423,0.002389,0.000088,0.002301,-1.193264,-2.350692,1.157427,0.000891,0.000515,0.000376,0.969000,1.570923,-0.601923,0.700248,0.700164,0.000084,-0.178391,-0.001234,-0.177157,0.722911,-0.000233,0.723144,0.127787,0.001850,0.125937,1.398536,-0.000359,1.398896,0.015343,-0.001103,0.016447,-0.676130,0.000197,-0.676327,-0.043495,-0.001280,-0.042214,-6.000000,-2.585000,3.500000,-4.000000,2.786876,5.500000,-6.986981,-1.341088,-0.322039,0.293709,-0.111816,-0.088917,-0.476312,-0.003252
0.038787,-0.005749,-0.000398,-0.005351,-0.137104,-0.700138,0.563034,0.004667,0.000088,0.004579,-1.178554,-2.350692,1.172137,0.001213,0.000515,0.000699,0.961897,1.570923,-0.609026,0.700014,0.700164,-0.000151,-0.291261,-0.001234,-0.290027,0.857607,-0.000233,0.857840,0.301024,0.001850,0.299173,1.656597,-0.000359,1.656956,0.048141,-0.001103,0.049244,-0.799787,0.000197,-0.799984,0.029858,-0.001280,0.031139,-2.637712,2.585005,0.245912,4.000007,-0.176801,-3.964413,-2.287243,-1.588405,2.791539,-1.353909,3.076804,-0.097569,-0.244116,-0.005601
0.043468,-0.005749,-0.000467,-0.005282,-0.137104,-0.700070,0.562966,0.004667,0.000128,0.004539,-1.178554,-2.350480,1.171926,0.001213,0.000517,0.000696,0.961897,1.570927,-0.609031,0.700014,0.700164,-0.000150,-0.291261,-0.011846,-0.279414,0.857607,-0.003493,0.861100,0.301024,0.004356,0.296668,1.656597,0.006823,1.649774,0.048141,-0.000194,0.048335,-0.799787,0.000296,-0.800083,0.029858,-0.001950,0.031808,-2.637712,2.585000,0.245912,4.000000,-0.176801,-3.964413,-2.287243,-1.594103,2.952508,-1.346828,3.252826,-0.097034,-0.297042,-0.005468
