time,q1_des,q1_real,q1_error,q2_des,q2_real,q2_error,q3_des,q3_real,q3_error,q4_des,q4_real,q4_error,q5_des,q5_real,q5_error,q6_des,q6_real,q6_error,q7_des,q7_real,q7_error,dq1_des,dq1_real,dq1_error,dq2_des,dq2_real,dq2_error,dq3_des,dq3_real,dq3_error,dq4_des,dq4_real,dq4_error,dq5_des,dq5_real,dq5_error,dq6_des,dq6_real,dq6_error,dq7_des,dq7_real,dq7_error,qdd1_cmd,qdd1_real,qdd1_error,qdd2_cmd,qdd2_real,qdd2_error,qdd3_cmd,qdd3_real,qdd3_error,qdd4_cmd,qdd4_real,qdd4_error,qdd5_cmd,qdd5_real,qdd5_error,qdd6_cmd,qdd6_real,qdd6_error,qdd7_cmd,qdd7_real,qdd7_error
0.002490,-0.002847,-0.000414,-0.002433,-0.166336,-0.700128,0.533791,0.001399,0.000096,0.001303,-1.235168,-2.350694,1.115526,0.000808,0.000642,0.000166,0.989359,1.570934,-0.581575,0.699533,0.700210,-0.000678,-0.791266,0.001661,-0.792927,0.183062,0.000384,0.182678,0.458478,-0.000782,0.459260,0.349667,-0.000121,0.349788,0.039545,0.000437,0.039108,-0.174925,0.000538,-0.175463,-0.318801,0.000475,-0.319276,6.000000,nan,nan,2.585000,nan,nan,-3.500000,nan,nan,4.000000,nan,nan,-5.492515,nan,nan,-5.500000,nan,nan,17.000000,nan,nan
0.008616,-0.005285,-0.000418,-0.004867,-0.163232,-0.700126,0.536894,0.002931,0.000096,0.002835,-1.229166,-2.350690,1.121524,0.000961,0.000642,0.000319,0.986421,1.570932,-0.584511,0.698686,0.700202,-0.001516,-0.070848,-0.000779,-0.070069,0.775700,0.000222,0.775478,0.075855,0.000477,0.075378,1.503202,0.000938,1.502264,0.012666,-0.000874,0.013539,-0.732705,0.000077,-0.732782,0.011030,-0.001111,0.012140,6.000000,-0.398290,6.398290,2.585000,-0.026519,2.611519,-3.500000,0.205497,-3.705497,4.000000,0.172828,3.827172,-3.285689,-0.213998,-3.071691,-5.500000,-0.075194,-5.424806,17.000000,-0.258875,17.258875
0.018659,-0.003487,-0.000418,-0.003069,-0.153395,-0.700126,0.546731,0.002314,0.000096,0.002218,-1.210088,-2.350690,1.140603,0.000983,0.000642,0.000341,0.977145,1.570932,-0.593786,0.699896,0.700202,-0.000306,0.251057,-0.000779,0.251835,1.036117,0.000222,1.035895,-0.106551,0.000477,-0.107028,2.009656,0.000938,2.008718,-0.002203,-0.000874,-0.001329,-0.975385,0.000077,-0.975462,0.146014,-0.001111,0.147125,-6.000000,0.000000,-6.000000,-2.585000,0.000000,-2.585000,3.500000,0.000000,3.500000,-4.000000,0.000000,-4.000000,0.336454,0.000000,0.336454,5.500000,0.000000,5.500000,-11.637836,0.000000,-11.637836
0.028934,-0.003169,-0.000418,-0.002751,-0.144535,-0.700126,0.555591,0.002375,0.000096,0.002279,-1.192921,-2.350690,1.157769,0.001033,0.000642,0.000391,0.968828,1.570932,-0.602103,0.700313,0.700202,0.000111,-0.185702,-0.000779,-0.184923,0.720343,0.000222,0.720122,0.133193,0.000477,0.132716,1.393479,0.000938,1.392541,0.016102,-0.000874,0.016976,-0.673633,0.000077,-0.673710,-0.045032,-0.001111,-0.043921,-6.000000,0.000000,-6.000000,-2.585000,0.000000,-2.585000,3.500000,0.000000,3.500000,-4.000000,0.000000,-4.000000,2.829392,0.000000,2.829392,5.500000,0.000000,5.500000,-6.185561,0.000000,-6.185561
0.038685,-0.005765,-0.000418,-0.005347,-0.137127,-0.700126,0.562999,0.004611,0.000096,0.004515,-1.178605,-2.350690,1.172086,0.001351,0.000642,0.000709,0.961915,1.570932,-0.609017,0.700088,0.700202,-0.000114,-0.291148,-0.000779,-0.290369,0.857428,0.000222,0.857206,0.300905,0.000477,0.300428,1.656277,0.000938,1.655339,0.048243,-0.000874,0.049116,-0.799639,0.000077,-0.799716,0.029990,-0.001111,0.031100,-2.494354,0.000000,-2.494354,2.585000,0.000000,2.585000,0.555201,0.000000,0.555201,4.000000,0.000000,4.000000,-0.076960,0.000000,-0.076960,-4.754304,0.000000,-4.754304,-1.806912,0.000000,-1.806912
0.048673,-0.009251,-0.000434,-0.008817,-0.130847,-0.700041,0.569194,0.006373,0.000115,0.006258,-1.166518,-2.350473,1.183955,0.001465,0.000648,0.000817,0.956075,1.570954,-0.614879,0.698439,0.700209,-0.001769,-0.418764,-0.009436,-0.409328,0.269187,-0.008374,0.277561,-0.012222,0.005367,-0.017589,0.509871,0.002006,0.507865,-0.042634,0.001924,-0.044558,-0.247077,0.003032,-0.250109,-0.442751,-0.000337,-0.442414,-6.000000,-0.866766,-5.133234,-2.585000,-0.860589,-1.724411,-3.500000,0.489537,-3.989537,-4.000000,0.106952,-4.106952,-8.660424,0.280050,-8.940474,5.500000,0.295885,5.204115,-17.000000,0.077493,-17.077493
0.058686,-0.013170,-0.000434,-0.012736,-0.129860,-0.700041,0.570181,0.005392,0.000115,0.005278,-1.164727,-2.350473,1.185746,0.000848,0.000648,0.000200,0.955203,1.570954,-0.615750,0.693340,0.700209,-0.006869,-0.329306,-0.009436,-0.319869,0.020977,-0.008374,0.029351,-0.134697,0.005367,-0.140064,0.029159,0.002006,0.027153,-0.065115,0.001924,-0.067039,-0.014246,0.003032,-0.017279,-0.487010,-0.000337,-0.486673,6.000000,0.000000,6.000000,-2.585000,0.000000,-2.585000,-3.500000,0.000000,-3.500000,-4.000000,0.000000,-4.000000,0.069484,0.000000,0.069484,5.500000,0.000000,5.500000,8.453379,0.000000,8.453379
0.068661,-0.015926,-0.000434,-0.015492,-0.129988,-0.700041,0.570053,0.003878,0.000115,0.003763,-1.165087,-2.350473,1.185386,0.000205,0.000648,-0.000443,0.955383,1.570954,-0.615571,0.688824,0.700209,-0.011384,-0.234678,-0.009436,-0.225242,-0.037779,-0.008374,-0.029405,-0.166428,0.005367,-0.171794,-0.084701,0.002006,-0.086707,-0.064309,0.001924,-0.066232,0.042328,0.003032,0.039295,-0.427424,-0.000337,-0.427087,5.935249,0.000000,5.935249,-2.585000,0.000000,-2.585000,-2.610188,0.000000,-2.610188,-4.000000,0.000000,-4.000000,-0.204894,0.000000,-0.204894,3.203078,0.000000,3.203078,3.024537,0.000000,3.024537
0.078638,-0.018082,-0.001493,-0.016589,-0.130439,-0.700230,0.569792,0.002123,-0.000200,0.002323,-1.166086,-2.350580,1.184494,-0.000444,0.000673,-0.001118,0.955890,1.570950,-0.615060,0.684632,0.700205,-0.015573,-0.209081,-0.058021,-0.151060,-0.043830,-0.012294,-0.031536,-0.182615,-0.056383,-0.126232,-0.099086,-0.008705,-0.090381,-0.066149,0.005444,-0.071592,0.051404,0.002963,0.048441,-0.421847,-0.001679,-0.420168,-0.964825,-4.869497,3.904671,2.371468,-0.392914,2.764382,-1.032260,-6.188942,5.156682,3.974057,-1.073520,5.047578,-0.495469,0.352800,-0.848269,-1.568885,-0.006975,-1.561910,-2.429934,-0.134528,-2.295406
0.088673,-0.020220,-0.001493,-0.018727,-0.130785,-0.700230,0.569445,0.000251,-0.000200,0.000451,-1.166920,-2.350580,1.183660,-0.001123,0.000673,-0.001796,0.956340,1.570950,-0.614610,0.680301,0.700205,-0.019905,-0.216425,-0.058021,-0.158404,-0.026174,-0.012294,-0.013879,-0.190320,-0.056383,-0.133937,-0.068797,-0.008705,-0.060093,-0.068961,0.005444,-0.074404,0.039143,0.002963,0.036180,-0.440487,-0.001679,-0.438808,-0.648260,0.000000,-0.648260,1.862547,0.000000,1.862547,-0.923608,0.000000,-0.923608,2.975822,0.000000,2.975822,-0.456299,0.000000,-0.456299,-1.082145,0.000000,-1.082145,-1.897759,0.000000,-1.897759
0.098646,-0.022401,-0.001493,-0.020908,-0.130982,-0.700230,0.569249,-0.001679,-0.000200,-0.001480,-1.167500,-2.350580,1.183080,-0.001821,0.000673,-0.002495,0.956691,1.570950,-0.614259,0.675840,0.700205,-0.024365,-0.220365,-0.058021,-0.162344,-0.014204,-0.012294,-0.001910,-0.196506,-0.056383,-0.140124,-0.049337,-0.008705,-0.040632,-0.071018,0.005444,-0.076462,0.032001,0.002963,0.029038,-0.453136,-0.001679,-0.451457,-0.328734,0.000000,-0.328734,1.351957,0.000000,1.351957,-0.817143,0.000000,-0.817143,1.973942,0.000000,1.973942,-0.417510,0.000000,-0.417510,-0.593369,0.000000,-0.593369,-1.365210,0.000000,-1.365210
0.108637,-0.024608,-0.003321,-0.021287,-0.131087,-0.700838,0.569751,-0.003667,-0.001620,-0.002047,-1.167940,-2.350990,1.183051,-0.002538,0.001102,-0.003640,0.956996,1.570923,-0.613928,0.671274,0.700218,-0.028944,-0.220955,-0.037986,-0.182969,-0.007787,0.006207,-0.013995,-0.201233,-0.052569,-0.148664,-0.040477,0.004536,-0.045013,-0.072342,0.020018,-0.092360,0.029887,-0.000177,0.030064,-0.459934,0.001287,-0.461221,-0.018522,2.005186,-2.023708,0.822692,1.851706,-1.029015,-0.713913,0.381725,-1.095639,0.955554,1.325169,-0.369615,-0.396901,1.458639,-1.855540,-0.098511,-0.314253,0.215742,-0.830596,0.296870,-1.127466
