time,q1_des,q1,q1_err,q2_des,q2,q2_err,q3_des,q3,q3_err,q4_des,q4,q4_err,q5_des,q5,q5_err,q6_des,q6,q6_err,q7_des,q7,q7_err,dq1_des,dq1,dq1_err,dq2_des,dq2,dq2_err,dq3_des,dq3,dq3_err,dq4_des,dq4,dq4_err,dq5_des,dq5,dq5_err,dq6_des,dq6,dq6_err,dq7_des,dq7,dq7_err,qddsafe1,qddsafe2,qddsafe3,qddsafe4,qddsafe5,qddsafe6,qddsafe7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.050346,-0.001482,-0.001450,-0.000033,-0.554260,-0.553394,-0.000865,-0.000480,-0.000509,0.000029,-2.140738,-2.139944,-0.000794,-0.014935,-0.015010,0.000075,1.237991,1.236728,0.001263,0.717649,0.717403,0.000246,-0.000958,0.000514,-0.001472,-0.032050,0.000862,-0.032912,0.000772,-0.002181,0.002953,-0.029099,0.001303,-0.030402,0.002790,0.000588,0.002202,0.045855,0.000080,0.045775,0.009134,0.000174,0.008960,-0.016805,-0.562008,0.013535,-0.510262,0.048921,0.804078,0.160171,0.014195,-0.642365,0.023207,0.050238,-0.000105,0.000989,0.002206
0.055052,-0.001482,-0.001450,-0.000033,-0.554260,-0.553394,-0.000865,-0.000480,-0.000509,0.000029,-2.140738,-2.139944,-0.000794,-0.014935,-0.015010,0.000075,1.237991,1.236728,0.001263,0.717649,0.717403,0.000246,-0.000958,0.000514,-0.001472,-0.032050,0.000862,-0.032912,0.000772,-0.002181,0.002953,-0.029099,0.001303,-0.030402,0.002790,0.000588,0.002202,0.045855,0.000080,0.045775,0.009134,0.000174,0.008960,-0.016805,-0.562008,0.013535,-0.510262,0.048921,0.804078,0.160171,0.014152,-0.643362,0.023282,0.049318,-0.000069,0.001457,0.002250
0.060118,-0.001493,-0.001450,-0.000043,-0.554607,-0.553394,-0.001213,-0.000471,-0.000509,0.000037,-2.141053,-2.139944,-0.001109,-0.014904,-0.015010,0.000105,1.238488,1.236728,0.001760,0.717748,0.717403,0.000345,-0.001124,0.000514,-0.001638,-0.037595,0.000862,-0.038456,0.000905,-0.002181,0.003087,-0.034133,0.001303,-0.035436,0.003273,0.000588,0.002685,0.053787,0.000080,0.053707,0.010714,0.000174,0.010540,-0.016429,-0.549443,0.013233,-0.498854,0.047827,0.786100,0.156590,0.013693,-0.633167,0.022932,0.044392,0.000110,0.003412,0.002381
0.065184,-0.001493,-0.001450,-0.000043,-0.554607,-0.553394,-0.001213,-0.000471,-0.000509,0.000037,-2.141053,-2.139944,-0.001109,-0.014904,-0.015010,0.000105,1.238488,1.236728,0.001760,0.717748,0.717403,0.000345,-0.001124,0.000514,-0.001638,-0.037595,0.000862,-0.038456,0.000905,-0.002181,0.003087,-0.034133,0.001303,-0.035436,0.003273,0.000588,0.002685,0.053787,0.000080,0.053707,0.010714,0.000174,0.010540,-0.016429,-0.549443,0.013233,-0.498854,0.047827,0.786100,0.156590,0.013640,-0.634481,0.023019,0.043184,0.000160,0.004031,0.002438
0.069981,-0.001505,-0.001453,-0.000052,-0.555010,-0.553410,-0.001600,-0.000462,-0.000502,0.000040,-2.141419,-2.139938,-0.001481,-0.014869,-0.015016,0.000146,1.239064,1.236730,0.002334,0.717863,0.717400,0.000463,-0.001286,-0.000142,-0.001145,-0.043020,0.001683,-0.044703,0.001036,0.000744,0.000292,-0.039059,0.000696,-0.039755,0.003745,-0.002085,0.005830,0.061550,-0.000457,0.062007,0.012261,-0.001915,0.014176,-0.016053,-0.536862,0.012930,-0.487431,0.046732,0.768100,0.153004,0.013394,-0.625300,0.021673,0.037699,0.000839,0.006432,0.002723
0.075290,-0.001505,-0.001453,-0.000052,-0.555010,-0.553410,-0.001600,-0.000462,-0.000502,0.000040,-2.141419,-2.139938,-0.001481,-0.014869,-0.015016,0.000146,1.239064,1.236730,0.002334,0.717863,0.717400,0.000463,-0.001286,-0.000142,-0.001145,-0.043020,0.001683,-0.044703,0.001036,0.000744,0.000292,-0.039059,0.000696,-0.039755,0.003745,-0.002085,0.005830,0.061550,-0.000457,0.062007,0.012261,-0.001915,0.014176,-0.016053,-0.536862,0.012930,-0.487431,0.046732,0.768100,0.153004,0.013349,-0.626932,0.021693,0.036230,0.000937,0.007199,0.002802
0.080117,-0.001519,-0.001453,-0.000065,-0.555469,-0.553410,-0.002059,-0.000451,-0.000502,0.000051,-2.141835,-2.139938,-0.001897,-0.014829,-0.015016,0.000186,1.239720,1.236730,0.002990,0.717994,0.717400,0.000594,-0.001446,-0.000142,-0.001304,-0.048345,0.001683,-0.050028,0.001164,0.000744,0.000420,-0.043894,0.000696,-0.044590,0.004208,-0.002085,0.006293,0.069169,-0.000457,0.069626,0.013778,-0.001915,0.015694,-0.015675,-0.524219,0.012625,-0.475953,0.045632,0.750012,0.149401,0.012851,-0.618471,0.021309,0.029670,0.001229,0.010020,0.003016
0.085172,-0.001519,-0.001453,-0.000065,-0.555469,-0.553410,-0.002059,-0.000451,-0.000502,0.000051,-2.141835,-2.139938,-0.001897,-0.014829,-0.015016,0.000186,1.239720,1.236730,0.002990,0.717994,0.717400,0.000594,-0.001446,-0.000142,-0.001304,-0.048345,0.001683,-0.050028,0.001164,0.000744,0.000420,-0.043894,0.000696,-0.044590,0.004208,-0.002085,0.006293,0.069169,-0.000457,0.069626,0.013778,-0.001915,0.015694,-0.015675,-0.524219,0.012625,-0.475953,0.045632,0.750012,0.149401,0.012799,-0.620313,0.021335,0.028009,0.001336,0.010888,0.003104
0.090101,-0.001534,-0.001453,-0.000081,-0.555979,-0.553410,-0.002570,-0.000438,-0.000502,0.000063,-2.142299,-2.139938,-0.002361,-0.014785,-0.015016,0.000231,1.240451,1.236730,0.003721,0.718139,0.717400,0.000739,-0.001601,-0.000142,-0.001459,-0.053536,0.001683,-0.055219,0.001289,0.000744,0.000545,-0.048606,0.000696,-0.049303,0.004660,-0.002085,0.006745,0.076595,-0.000457,0.077052,0.015257,-0.001915,0.017173,-0.015297,-0.511597,0.012321,-0.464493,0.044533,0.731953,0.145804,0.012270,-0.612932,0.020978,0.020492,0.001677,0.014213,0.003362
0.096596,-0.001534,-0.001453,-0.000081,-0.555979,-0.553410,-0.002570,-0.000438,-0.000502,0.000063,-2.142299,-2.139938,-0.002361,-0.014785,-0.015016,0.000231,1.240451,1.236730,0.003721,0.718139,0.717400,0.000739,-0.001601,-0.000142,-0.001459,-0.053536,0.001683,-0.055219,0.001289,0.000744,0.000545,-0.048606,0.000696,-0.049303,0.004660,-0.002085,0.006745,0.076595,-0.000457,0.077052,0.015257,-0.001915,0.017173,-0.015297,-0.511597,0.012321,-0.464493,0.044533,0.731953,0.145804,0.012193,-0.615653,0.021019,0.018036,0.001830,0.015496,0.003489
