time,q1_des,q1_real,q1_error,q2_des,q2_real,q2_error,q3_des,q3_real,q3_error,q4_des,q4_real,q4_error,q5_des,q5_real,q5_error,q6_des,q6_real,q6_error,q7_des,q7_real,q7_error,dq1_des,dq1_real,dq1_error,dq2_des,dq2_real,dq2_error,dq3_des,dq3_real,dq3_error,dq4_des,dq4_real,dq4_error,dq5_des,dq5_real,dq5_error,dq6_des,dq6_real,dq6_error,dq7_des,dq7_real,dq7_error,qdd1_cmd,qdd1_real,qdd1_error,qdd2_cmd,qdd2_real,qdd2_error,qdd3_cmd,qdd3_real,qdd3_error,qdd4_cmd,qdd4_real,qdd4_error,qdd5_cmd,qdd5_real,qdd5_error,qdd6_cmd,qdd6_real,qdd6_error,qdd7_cmd,qdd7_real,qdd7_error
0.005009,0.046356,0.023446,0.022909,-0.216988,-0.742506,0.525518,-0.056548,-0.068415,0.011867,-1.307941,-2.347015,1.039074,0.029284,-0.009237,0.038521,1.055886,1.568539,-0.512653,0.797095,0.765764,0.031332,-0.188846,2.589509,-2.778355,0.476086,-0.375920,0.852006,0.036478,-1.408379,1.444857,0.902820,-0.028157,0.930977,0.038957,-0.146219,0.185176,-0.441036,0.019679,-0.460715,-0.129725,0.092524,-0.222250,6.000000,nan,nan,2.585000,nan,nan,3.500000,nan,nan,4.000000,nan,nan,6.322325,nan,nan,-5.500000,nan,nan,17.000000,nan,nan
0.015306,0.045400,0.023446,0.021954,-0.209889,-0.742506,0.532617,-0.055932,-0.068415,0.012483,-1.294504,-2.347015,1.052511,0.029951,-0.009237,0.039187,1.049394,1.568539,-0.519145,0.797143,0.765764,0.031379,-0.028633,2.589509,-2.618142,0.844343,-0.375920,1.220263,0.078025,-1.408379,1.486404,1.596098,-0.028157,1.624255,0.083612,-0.146219,0.229831,-0.768576,0.019679,-0.788255,0.098053,0.092524,0.005529,6.000000,0.000000,6.000000,2.585000,0.000000,2.585000,2.544048,0.000000,2.544048,4.000000,0.000000,4.000000,2.350413,0.000000,2.350413,-5.500000,0.000000,-5.500000,10.191813,0.000000,10.191813
0.024995,0.045142,0.023446,0.021696,-0.201326,-0.742506,0.541179,-0.055100,-0.068415,0.013314,-1.278342,-2.347015,1.068673,0.030813,-0.009237,0.040049,1.041597,1.568539,-0.526942,0.798220,0.765764,0.032457,-0.053001,2.589509,-2.642510,0.871605,-0.375920,1.247525,0.089086,-1.408379,1.497465,1.642168,-0.028157,1.670325,0.088280,-0.146219,0.234500,-0.795441,0.019679,-0.815119,0.088069,0.092524,-0.004456,-6.000000,0.000000,-6.000000,-2.585000,0.000000,-2.585000,-0.260697,0.000000,-0.260697,-4.000000,0.000000,-4.000000,-1.386708,0.000000,-1.386708,5.500000,0.000000,5.500000,-12.252741,0.000000,-12.252741
0.035070,0.043997,0.023446,0.020551,-0.193351,-0.742506,0.549154,-0.054212,-0.068415,0.014203,-1.263350,-2.347015,1.083665,0.031621,-0.009237,0.040858,1.034286,1.568539,-0.534253,0.798444,0.765764,0.032681,-0.158815,2.589509,-2.748324,0.727999,-0.375920,1.103919,0.091612,-1.408379,1.499991,1.366714,-0.028157,1.394871,0.075138,-0.146219,0.221358,-0.668938,0.019679,-0.688617,-0.022496,0.092524,-0.115020,-4.996343,0.000000,-4.996343,-2.585000,0.000000,-2.585000,1.705530,0.000000,1.705530,-4.000000,0.000000,-4.000000,-0.252292,0.000000,-0.252292,5.500000,0.000000,5.500000,-3.495422,0.000000,-3.495422
0.045044,0.042364,0.023446,0.018918,-0.186247,-0.742506,0.556258,-0.053162,-0.068415,0.015253,-1.249991,-2.347015,1.097024,0.032396,-0.009237,0.041633,1.027788,1.568539,-0.540751,0.798316,0.765764,0.032552,-0.148676,2.589509,-2.738185,0.720314,-0.375920,1.096234,0.124104,-1.408379,1.532483,1.358874,-0.028157,1.387031,0.084158,-0.146219,0.230378,-0.653585,0.019679,-0.673264,0.023825,0.092524,-0.068700,6.000000,0.000000,6.000000,2.585000,0.000000,2.585000,3.500000,0.000000,3.500000,4.000000,0.000000,4.000000,2.061044,0.000000,2.061044,-4.323444,0.000000,-4.323444,12.783828,0.000000,12.783828
0.055018,0.040306,0.023446,0.016860,-0.178837,-0.742506,0.563669,-0.051543,-0.068415,0.016872,-1.236003,-2.347015,1.111012,0.033326,-0.009237,0.042563,1.021126,1.568539,-0.547414,0.798411,0.765764,0.032647,-0.374203,2.589509,-2.963712,0.751381,-0.375920,1.127300,0.216183,-1.408379,1.624562,1.412422,-0.028157,1.440579,0.100197,-0.146219,0.246417,-0.671107,0.019679,-0.690786,-0.099093,0.092524,-0.191617,-6.000000,0.000000,-6.000000,-1.226705,0.000000,-1.226705,3.500000,0.000000,3.500000,-4.000000,0.000000,-4.000000,0.988753,0.000000,0.988753,1.680675,0.000000,1.680675,-17.000000,0.000000,-17.000000
0.065001,0.034993,0.023446,0.011547,-0.172684,-0.742506,0.569821,-0.049597,-0.068415,0.018818,-1.224539,-2.347015,1.122476,0.034095,-0.009237,0.043331,1.015639,1.568539,-0.552900,0.795544,0.765764,0.029780,-0.460293,2.589509,-3.049802,0.316249,-0.375920,0.692169,0.041191,-1.408379,1.449570,0.581128,-0.028157,0.609285,0.017084,-0.146219,0.163303,-0.282667,0.019679,-0.302346,-0.397407,0.092524,-0.489931,6.000000,0.000000,6.000000,-2.585000,0.000000,-2.585000,-3.500000,0.000000,-3.500000,-4.000000,0.000000,-4.000000,-14.401842,0.000000,-14.401842,5.500000,0.000000,5.500000,-11.257152,0.000000,-11.257152
0.075411,0.031732,0.023446,0.008285,-0.172230,-0.742506,0.570276,-0.050854,-0.068415,0.017561,-1.223822,-2.347015,1.123193,0.033685,-0.009237,0.042922,1.015220,1.568539,-0.553319,0.790956,0.765764,0.025192,-0.211112,2.589509,-2.800621,-0.137146,-0.375920,0.238774,-0.231260,-1.408379,1.177118,-0.271238,-0.028157,-0.243081,-0.077309,-0.146219,0.068911,0.120794,0.019679,0.101115,-0.468835,0.092524,-0.561360,6.000000,0.000000,6.000000,-2.585000,0.000000,-2.585000,-3.500000,0.000000,-3.500000,-4.000000,0.000000,-4.000000,-3.733933,0.000000,-3.733933,5.500000,0.000000,5.500000,-2.466507,0.000000,-2.466507
0.085024,0.029869,0.023446,0.006422,-0.173635,-0.742506,0.568871,-0.053207,-0.068415,0.015207,-1.226603,-2.347015,1.120412,0.032911,-0.009237,0.042148,1.016467,1.568539,-0.552072,0.786452,0.765764,0.020688,-0.200881,2.589509,-2.790391,-0.105671,-0.375920,0.270249,-0.230501,-1.408379,1.177878,-0.214840,-0.028157,-0.186683,-0.073712,-0.146219,0.072507,0.094999,0.019679,0.075320,-0.460111,0.092524,-0.552635,-2.930444,0.000000,-2.930444,2.585000,0.000000,2.585000,3.500000,0.000000,3.500000,4.000000,0.000000,4.000000,1.963707,0.000000,1.963707,-5.500000,0.000000,-5.500000,2.172250,0.000000,2.172250
0.095009,0.027738,0.023446,0.004292,-0.174202,-0.742506,0.568303,-0.055311,-0.068415,0.013104,-1.227849,-2.347015,1.119166,0.032261,-0.009237,0.041498,1.016996,1.568539,-0.551543,0.781954,0.765764,0.016190,-0.223827,2.589509,-2.813336,-0.014507,-0.375920,0.361412,-0.193850,-1.408379,1.214529,-0.046868,-0.028157,-0.018711,-0.057735,-0.146219,0.088485,0.016758,0.019679,-0.002920,-0.442153,0.092524,-0.534678,-1.665411,0.000000,-1.665411,2.585000,0.000000,2.585000,2.775510,0.000000,2.775510,4.000000,0.000000,4.000000,1.236553,0.000000,1.236553,-5.500000,0.000000,-5.500000,1.424630,0.000000,1.424630
