Signal,RMS,Mean Abs Error,Max Abs Error,Std Error
ee_x,0.03121186005885303,0.02598209667034913,0.06497463172065465,0.029745088717394754
ee_y,0.026800073562544154,0.022657502125869686,0.052356703564727894,0.02633934934863293
ee_z,0.05354688459001272,0.035441105462266725,0.30429763408724103,0.05314164770892857
ee_vx,0.029582318181268937,0.026837348312975882,0.05598306356330272,0.029551466967844508
ee_vy,0.030010690019559413,0.022856550392289853,0.23642657976751744,0.029999522965856035
ee_vz,0.059340017116881943,0.038567266906628324,0.28411648355477676,0.05933988579353609
ee_ax,0.09509453084164275,0.06742022946493718,1.152891030145846,0.09508485476456971
ee_ay,0.23229995353539534,0.12767468130460946,7.495756001716556,0.2321655604782239
ee_az,0.24768728124062836,0.1733212788272279,1.6383515770928607,0.2476747821639578
joint1_position,0.0045838361953847466,0.0026402838557379005,0.013308694367811388,0.004571218037475038
joint1_velocity,0.033776124574440965,0.019807100460955022,0.105049752781586,0.03361650457175486
joint1_acceleration,0.5537427791976359,0.4787711751780404,1.5419756554100479,0.5438766230971183
joint1_torque,0.6249396756611281,0.4921365893030469,3.324337391130723,0.6179026672358152
joint2_position,0.006286210647356376,0.0028955670359657733,0.039046931250868,0.00605630601232951
joint2_velocity,0.04382735643504126,0.020405648321154882,0.2350955803631904,0.04231227587022331
joint2_acceleration,1.171648082988951,0.8934051076592143,2.7401257708908013,1.1618915154234482
joint2_torque,0.8824548907377682,0.7457927365972687,2.586652649533921,0.8662127693391076
joint3_position,0.003680285319374166,0.0019964951589564977,0.018214952677649388,0.003248121293642873
joint3_velocity,0.029178802363569224,0.015671879463210824,0.1554966441039653,0.026196288236050847
joint3_acceleration,0.5722902816790875,0.4476064492314365,3.134238277386102,0.5395418883987345
joint3_torque,0.946225509210183,0.786901822455014,4.1881141673861455,0.944286084809021
joint4_position,0.02068453921972447,0.012009250288430098,0.0930195034893293,0.02048668615858727
joint4_velocity,0.14568108455573664,0.0893709882067615,0.39106519980162113,0.14407206637327064
joint4_acceleration,2.7915623913641556,2.488882973228739,5.539155432761439,2.731320069569939
joint4_torque,1.0527242942288335,0.9190716697441059,3.253353830280499,1.0526332258076934
joint5_position,0.0089894075639199,0.00404079095899471,0.0602580060121884,0.008589076117846959
joint5_velocity,0.06423225078087882,0.031154860811184088,0.2429487874431599,0.061084496136082314
joint5_acceleration,1.366135436549662,0.9897023631730474,2.947983305914205,1.1356869047257503
joint5_torque,0.0690049447501881,0.05770976642077504,0.26244804346409434,0.06151048018658338
joint6_position,0.029588058424768252,0.016005312468057715,0.09225071355529724,0.029351030771549214
joint6_velocity,0.22543059954233968,0.12783499176259683,0.5137560573878122,0.2235990580957432
joint6_acceleration,4.442782375422259,4.0682886299851,5.577839411726317,4.320965254335235
joint6_torque,0.15639975261881298,0.13290406153025383,0.43705354657253537,0.13861391872908121
joint7_position,0.0432224603434237,0.025141805768512382,0.23924724230154037,0.04322229019435497
joint7_velocity,0.2968002089064,0.18257114350092873,0.8769761510185202,0.29677547239106467
joint7_acceleration,4.1186830491028985,3.5750486263594503,7.278103853832879,4.115035542958795
joint7_torque,0.10512904613638534,0.09123441332183696,0.2259442682924819,0.05410956646617982
