Signal,RMS,Mean Abs Error,Max Abs Error,Std Error
ee_x,0.03255792188505296,0.027670036143468142,0.06696576548974259,0.03170299217907723
ee_y,0.02797722986348174,0.023285717177884396,0.055407251636679006,0.027581297232158273
ee_z,0.05763933632580006,0.0386385568727276,0.30310694575941133,0.05713197258361074
ee_vx,0.029571847493276508,0.026721603973988723,0.0568568459091567,0.02956873021110576
ee_vy,0.031429633389143424,0.024236428529056275,0.1880582630845705,0.031427087423025
ee_vz,0.05756333124440573,0.03968656705013071,0.23063790573902143,0.0575617453682077
ee_ax,0.09265963769994114,0.06779814856431236,0.5644025303986315,0.09265553866393329
ee_ay,0.20035451430088067,0.1263180731268658,5.881377880458583,0.2002774948661083
ee_az,0.24474210195892201,0.17402529766409178,1.329450215298553,0.24473734110320494
joint1_position,171.30994176782696,123.02559330799012,401.1790121333295,119.21325236614123
joint1_velocity,7.559714161434271,6.263412373112043,14.976966908639724,4.233079133893967
joint1_acceleration,0.5844650175357443,0.48892531151134433,1.6527096613509538,0.5242615587669968
joint1_torque,0.6409564582023196,0.5064881069159914,3.256472354977319,0.6351791415482919
joint2_position,28.33617008065492,22.576987436984822,48.16802894268845,17.236923392024405
joint2_velocity,1.3098402697526619,0.9879322660356058,4.087143780687849,1.1520443875551767
joint2_acceleration,1.1581162098906699,0.8803572783593515,2.8324505333230277,1.1439882056300914
joint2_torque,0.8678059469568359,0.7339434228486956,2.7207491252341285,0.8607186016756356
joint3_position,24.14041572621804,14.587235993612245,82.05808816760751,22.50517159924398
joint3_velocity,2.5088959103490325,1.7861720631519107,7.624872482610706,2.1665036364774166
joint3_acceleration,0.8712511522034045,0.74108027185037,2.6617479327694706,0.8607045736891946
joint3_torque,0.9673246130221116,0.8124986681207496,4.176036248573229,0.9672623642710736
joint4_position,197.6937797724597,132.55509771806572,505.72987102294707,147.72459456190973
joint4_velocity,10.759182518991219,8.47262251911692,23.398647450899606,7.200433111539196
joint4_acceleration,2.750395956145106,2.4298493813444515,5.314339001164401,2.6850848053366336
joint4_torque,1.0533948265124329,0.9219084124715476,3.427988706660095,1.049633774264988
joint5_position,592.3182909098072,425.9719666967465,1391.2900842456502,411.5687594012755
joint5_velocity,26.198280021087538,21.713925113223382,50.70239869000904,14.657962050295554
joint5_acceleration,1.4176701402471719,1.002147659222083,3.070736262656071,1.1628666027535202
joint5_torque,0.06773086905726101,0.05921907414356937,0.2993496082171293,0.0572071573249014
joint6_position,368.60318291599066,239.00081003868758,969.5561706908126,288.38533816676517
joint6_velocity,21.271732491099517,16.62462824914189,46.375114737807486,14.861553435456635
joint6_acceleration,4.444893387251246,4.0681987299864035,5.582760286336198,4.338874284432406
joint6_torque,0.15983377573338267,0.13586413381360218,0.4978152626542367,0.138187141844129
joint7_position,33.812289705365046,23.441427421554213,84.42430360630746,27.05307467238305
joint7_velocity,5.239427801611059,4.321874144914104,10.468834034921825,5.076082644201632
joint7_acceleration,4.059263017438444,3.5342261220067432,7.786459703868074,4.048481195796536
joint7_torque,0.11237448034514527,0.09890671357079137,0.25532289029675637,0.054778848192607255
